                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.5033,                 5.4311,                 4.3106,                  7e-05,                0.00381,                  4e-05,                  1e-05,                 4.5437,                 4.8623,                 4.1605,              8.004e-05,              8.004e-05,              8.004e-05
                      1,                  4.362,                 5.3795,                 4.2614,                  7e-05,                0.00423,                  4e-05,                  1e-05,                 4.5432,                 4.8596,                 4.1602,             0.00016643,             0.00016643,             0.00016643
                      2,                 4.4397,                 5.2096,                 4.2109,                  6e-05,                0.00381,                  3e-05,                  1e-05,                 4.5423,                 4.8561,                 4.1535,             0.00025248,             0.00025248,             0.00025248
                      3,                 4.3263,                 5.0764,                 4.1767,                  9e-05,                 0.0055,                  5e-05,                  1e-05,                 4.5433,                 4.8326,                 4.1382,              0.0003382,              0.0003382,              0.0003382
                      4,                 4.3541,                 4.9432,                 4.0888,                 0.0001,                0.00592,                  5e-05,                  1e-05,                 4.5246,                  4.866,                 4.1146,             0.00042358,             0.00042358,             0.00042358
                      5,                 4.2954,                 4.6781,                  4.009,                 0.0001,                0.01015,                  6e-05,                  2e-05,                 4.5115,                 4.9002,                 4.1133,             0.00050862,             0.00050862,             0.00050862
                      6,                  4.144,                 4.4505,                 3.8838,                0.00012,                 0.0148,                 0.0007,                0.00024,                 4.5519,                 4.9422,                 4.1486,             0.00059334,             0.00059334,             0.00059334
                      7,                 4.1148,                  4.357,                 3.7785,                 0.0002,                0.01903,                0.00036,                  9e-05,                 4.4825,                 4.6548,                 3.9742,             0.00065797,             0.00065797,             0.00065797
                      8,                 4.0778,                 4.1529,                 3.6309,                0.82535,                0.00423,                0.00074,                0.00022,                 4.3687,                 4.6683,                 3.8064,             0.00065797,             0.00065797,             0.00065797
                      9,                 3.9504,                 4.1732,                 3.5372,                0.91824,                0.00634,                 0.0039,                 0.0011,                 3.8634,                 4.3663,                  3.526,             0.00065668,             0.00065668,             0.00065668
                     10,                 3.6986,                 4.0283,                 3.3384,                0.46098,                0.02384,                0.00492,                0.00176,                 3.6351,                 4.4905,                 3.3845,             0.00065539,             0.00065539,             0.00065539
                     11,                 3.6493,                 3.9306,                 3.2157,                0.37587,                0.05543,                0.00585,                0.00163,                 3.5698,                 9.7387,                 3.5047,              0.0006541,              0.0006541,              0.0006541
                     12,                 3.4871,                 3.8311,                 3.0843,                 0.4806,                0.04088,                0.01722,                0.00587,                 3.3539,                 3.7894,                 3.0466,             0.00065281,             0.00065281,             0.00065281
                     13,                 3.4038,                 3.7625,                 3.0056,                0.39025,                0.04516,                0.01385,                 0.0049,                 3.2762,                 4.5792,                 2.9746,             0.00065152,             0.00065152,             0.00065152
                     14,                 3.3106,                 3.6768,                 2.8197,                0.20041,                0.05696,                0.01453,                 0.0044,                 3.1703,                  5.489,                 2.8136,             0.00065023,             0.00065023,             0.00065023
                     15,                 3.1305,                  3.653,                 2.7736,                0.19941,                0.06319,                0.01948,                0.00625,                 3.0074,                 3.5598,                 2.7691,             0.00064894,             0.00064894,             0.00064894
                     16,                 3.1787,                 3.6256,                 2.6848,                0.57544,                0.08228,                0.02652,                0.00888,                 2.8099,                 3.3763,                 2.5478,             0.00064765,             0.00064765,             0.00064765
                     17,                 3.0239,                 3.4687,                 2.5112,                0.11884,                0.08325,                0.02812,                0.01033,                 2.7579,                 3.3018,                 2.5063,             0.00064636,             0.00064636,             0.00064636
                     18,                 2.9208,                 3.4294,                  2.488,                0.02248,                0.11794,                0.02584,                 0.0103,                 2.7012,                  4.703,                 2.4165,             0.00064507,             0.00064507,             0.00064507
                     19,                 2.8801,                 3.4099,                 2.5054,                0.03951,                0.09315,                0.03224,                0.01228,                 2.6788,                 3.3051,                 2.4232,             0.00064379,             0.00064379,             0.00064379
                     20,                 2.8504,                 3.4128,                 2.4401,                0.01453,                0.38802,                0.01885,                0.00701,                 2.6619,                 3.6321,                 2.4064,              0.0006425,              0.0006425,              0.0006425
                     21,                 2.7819,                 3.3358,                 2.3489,                0.01358,                0.53422,                0.03797,                0.01513,                 2.4655,                 3.1439,                 2.2219,             0.00064121,             0.00064121,             0.00064121
                     22,                 2.6588,                 3.2476,                 2.2844,                0.12279,                0.11209,                0.04546,                0.01844,                 2.5289,                 3.5905,                 2.2581,             0.00063992,             0.00063992,             0.00063992
                     23,                 2.6701,                 3.2614,                 2.2729,                0.01757,                0.52735,                0.04411,                0.01715,                 2.4232,                 3.1404,                 2.2274,             0.00063863,             0.00063863,             0.00063863
                     24,                 2.6638,                 3.1966,                 2.1619,                0.06234,                0.14454,                0.04492,                0.01876,                 2.3734,                 3.1131,                 2.2179,             0.00063734,             0.00063734,             0.00063734
                     25,                 2.4911,                 3.0488,                 2.1326,                0.09097,                0.12395,                0.07287,                0.03231,                 2.2227,                  2.821,                 2.0386,             0.00063605,             0.00063605,             0.00063605
                     26,                 2.5533,                  3.125,                 2.1713,                 0.0543,                0.12915,                0.04719,                 0.0182,                 2.2952,                 3.0814,                 2.0727,             0.00063476,             0.00063476,             0.00063476
                     27,                 2.4929,                 2.9772,                 2.0821,                0.17647,                0.13436,                 0.0906,                0.04009,                 2.2026,                 2.7564,                 2.0467,             0.00063347,             0.00063347,             0.00063347
                     28,                 2.3316,                 2.8748,                 1.9823,                0.07561,                 0.1405,                0.07752,                0.03489,                 2.1129,                 2.7689,                  1.971,             0.00063218,             0.00063218,             0.00063218
                     29,                 2.4067,                 2.9288,                 2.0362,                 0.2345,                0.14267,                0.09906,                0.04747,                 2.0626,                 2.7284,                 1.9099,             0.00063089,             0.00063089,             0.00063089
                     30,                 2.2271,                 2.8079,                 1.9563,                0.18814,                0.14276,                0.09925,                0.04528,                 1.9998,                 2.6689,                 1.8961,              0.0006296,              0.0006296,              0.0006296
                     31,                 2.2541,                 2.8004,                 1.9814,                0.20134,                0.18366,                0.11108,                0.05355,                 1.9876,                 2.6006,                 1.8606,             0.00062831,             0.00062831,             0.00062831
                     32,                 2.1465,                 2.6958,                 1.8591,                0.13201,                0.27271,                0.13201,                0.06767,                 1.9186,                 2.5859,                 1.7924,             0.00062702,             0.00062702,             0.00062702
                     33,                 2.1268,                 2.7298,                  1.849,                0.18988,                 0.1744,                0.16763,                0.08805,                 1.8804,                  2.436,                 1.7773,             0.00062573,             0.00062573,             0.00062573
                     34,                 2.0835,                 2.6228,                 1.8442,                0.25919,                0.15001,                0.14994,                0.07346,                   1.92,                 2.5028,                 1.8532,             0.00062444,             0.00062444,             0.00062444
                     35,                 2.0895,                 2.5684,                 1.7864,                0.23571,                0.17185,                0.17214,                0.09559,                 1.8281,                 2.4398,                 1.7606,             0.00062315,             0.00062315,             0.00062315
                     36,                 2.0328,                 2.5031,                 1.7425,                0.20417,                0.21367,                0.18379,                0.10305,                 1.7931,                 2.3203,                 1.7096,             0.00062186,             0.00062186,             0.00062186
